city,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,sunrise,sunset,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours,windspeed_10m_max,winddirection_10m_dominant
Vienna,1980-01-01,2.1,-0.5,0.5,1980-01-01T08:45,1980-01-01T17:10,0,0,0,0,30.3,291
Vienna,1980-01-02,1.2,-2.4,-1,1980-01-02T08:45,1980-01-02T17:11,0,0,0.42,0,28.6,279
Vienna,1980-01-03,-0.3,-3.9,-1.8,1980-01-03T08:45,1980-01-03T17:12,0.6,0,0.56,4,25.5,323
Vienna,1980-01-04,-1.6,-5.5,-4.1,1980-01-04T08:45,1980-01-04T17:13,0,0,0,0,21.9,322
Vienna,1980-01-05,-3.2,-7.2,-4.9,1980-01-05T08:44,1980-01-05T17:14,5.8,0,4.13,14,10.5,121
Vienna,1980-01-06,-4.2,-8,-5.9,1980-01-06T08:44,1980-01-06T17:15,1.2,0,0.98,7,8,111
Vienna,1980-01-07,-5,-6.8,-6,1980-01-07T08:44,1980-01-07T17:16,0.5,0,1.33,5,8.7,100
Vienna,1980-01-08,-1.7,-7.6,-5.4,1980-01-08T08:44,1980-01-08T17:17,0,0,0,0,7.1,329
Vienna,1980-01-09,-7.1,-13,-8.8,1980-01-09T08:43,1980-01-09T17:18,0,0,0,0,9.2,328
Vienna,1980-01-10,-3.1,-8.6,-6,1980-01-10T08:43,1980-01-10T17:19,0,0,0,0,9.5,18
Vienna,1980-01-11,-6.9,-10.4,-8.7,1980-01-11T08:42,1980-01-11T17:21,0,0,0,0,16.1,337
Vienna,1980-01-12,-9.4,-15.3,-11.1,1980-01-12T08:42,1980-01-12T17:22,0,0,0,0,11.6,335
Vienna,1980-01-13,-7.3,-16.7,-13.1,1980-01-13T08:41,1980-01-13T17:23,0,0,0,0,12.6,60
Vienna,1980-01-14,-8.1,-16.5,-11.6,1980-01-14T08:41,1980-01-14T17:25,0,0,0,0,21.5,122
Vienna,1980-01-15,-7,-11.6,-9.5,1980-01-15T08:40,1980-01-15T17:26,0,0,0,0,14.6,111
Vienna,1980-01-16,-3.2,-11.2,-6.7,1980-01-16T08:40,1980-01-16T17:28,5.5,0,3.92,14,15.3,11
